';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
楛	거칠 고 | 나무이름 호	木';
槀	마른나무 고	木';
櫜	칼집 고	木';
盬	짠못/마실 고	皿';
瞽	소경 고	目';
罟	그물 고:	网';
羖	염소 고:	羊';
栲	북나무 고	木';
杲	밝을 고	木';
刳	가를 고	刀';
鼛	큰북 고	鼓';
稾	원고/볏짚 고	禾';
罛	큰물고기그물 고	网';
觚	술잔 고	角';
酤	단술 고	酉';
熇	말릴 고	火';
曲	굽을 곡	曰';
穀	곡식 곡	禾';
哭	울 곡	口';
谷	골 곡	谷';
梏	수갑 곡	木';
鵠	고니/과녁 곡	鳥';
斛	휘 곡	斗';
觳	곱송그릴 곡 | 비교할 각	角';
轂	수레바퀴통 곡	車';
牿	외양간 곡	牛';
困	곤할 곤:	囗';
坤	따 곤	土';
昆	맏 곤	日';
棍	몽둥이 곤	木';
袞	곤룡포 곤:	衣';
琨	옥돌 곤	玉';
鯤	곤어 곤	魚';
滾	넘쳐흐를 곤	水';
梱	문지방 곤	木';
崑	산이름 곤	山';
髡	머리깎을 곤	髟';
棞	문지방 곤	木';
錕	붉은쇠 곤	金';
緄	띠 곤 | 오랑캐이름 혼	糸';
鯀	큰물고기 곤	魚';
骨	뼈 골	骨';
汨	골몰할 골 | 물이름 멱	水';
工	장인 공	工';
空	빌 공	穴';
公	공평할 공	八';
共	한가지 공:	八';
功	공[勳] 공	力';
孔	구멍 공:	子';
攻	칠[擊] 공:	攴';
貢	바칠 공:	貝';
供	이바지할 공:	人';
恐	두려울 공(:)	心';
恭	공손할 공	心';
鞏	굳을 공	革';
拱	팔짱낄 공:	手';
控	당길 공:	手';
蚣	지네 공	虫';
珙	큰옥 공	玉';
悾	정성 공	心';
邛	수고할 공	邑';
果	실과 과:	木';
科	과목 과	禾';
課	공부할/과정 과(:)	言';
過	지날 과:	辵';
誇	자랑할 과:	言';
寡	적을 과:	宀';
菓	과자 과/실과 과:	艸';
戈	창 과	戈';
瓜	외 과	瓜';
顆	낱알 과	頁';
鍋	노구솥 과	金';
跨	넘을 과	足';
薖	너그러울 과	艸';
夸	사치할/자랑할 과	大';
蜾	나나니벌 과	虫';
裹	쌀 과:	衣';
郭	둘레/외성 곽	邑';
廓	둘레 곽 | 클 확	广';
槨	외관(外棺) 곽	木';
藿	콩잎/미역 곽	艸';
霍	곽란 곽	雨';
躩	바삐갈 곽	足';
鞹	가죽 곽	革';
觀	볼 관	見';
關	관계할 관	門';
官	벼슬 관	宀';
管	대롱/주관할 관	竹';
寬	너그러울 관	宀';
貫	꿸 관(:)	貝';
館	집 관	食';
慣	익숙할 관	心';
冠	갓 관	冖';
款	항목 관:	欠';
琯	옥피리 관	玉';
串	꿸 관 | 땅이름 곶	丨';
棺	널 관	木';
顴	광대뼈 관	頁';
灌	물댈 관	水';
瓘	옥 관	玉';
菅	왕골 관	艸';
罐	물동이 관	缶';
梡	도마 관	木';
盥	낯씻을 관:	皿';
瘝	앓을 관	疒';
痯	병에지칠 관	疒';
鸛	황새 관	鳥';
錧	비녀장 관	金';
祼	강신제 관	示';
丱	쌍상투 관	丨';
綰	얽을 관	糸';
刮	긁을 괄	刀';
括	묶을 괄	手';
适	빠를 괄	辵';
恝	괄시할 괄	心';
栝	전나무 괄	木';
佸	모일 괄	人';
聒	떠지껄일 괄	耳';
光	빛 광	儿';
廣	넓을 광:	广';
鑛	쇳돌 광:	金';
狂	미칠 광	犬';
曠	빌 광:	日';
壙	뫼구덩이 광:	土';
匡	바룰 광	匚';
胱	오줌통 광	肉';
珖	옥피리 광	玉';
洸	물솟을 광	水';
筐	광주리 광	竹';
侊	성할 광	人';
炚	빛날 광	火';
纊	고운솜 광:	糸';
誑	속일 광	言';
桄	광랑나무 광	木';
迋	속일 광 | 갈 왕	辵';
掛	걸[懸] 괘	手';
罫	줄[罫線] 괘	网';
卦	점괘 괘	卜';
壞	무너질 괴:	土';
怪	괴이할 괴(:)	心';
塊	흙덩이 괴	土';
愧	부끄러울 괴:	心';
傀	허수아비 괴:	人';
槐	회화나무/느티나무 괴	木';
拐	후릴 괴	手';
魁	괴수 괴	鬼';
乖	어그러질 괴	丿';
蕢	흙덩이 괴 | 삼태기 궤	艸';
瑰	옥돌 괴	玉';
虢	나라이름 괵	虍';
肱	팔뚝 굉	肉';
轟	울릴/수레소리 굉	車';
宏	클 굉	宀';
紘	벼리 굉	糸';
觥	뿔잔 굉	角';
鞃	고삐 굉	革';
校	학교 교:	木';
敎	가르칠 교:	攴';
交	사귈 교	亠';
橋	다리 교	木';
巧	공교할 교	工';
較	견줄/비교할 교	車';
郊	들[野] 교	邑';
矯	바로잡을 교:	矢';
僑	더부살이 교	人';
膠	아교 교	肉';
絞	목맬 교	糸';
攪	흔들 교	手';
咬	물[齧]/새소리 교	口';
喬	높을 교	口';
驕	교만할 교	馬';
轎	가마 교	車';
蛟	교룡(蛟龍) 교	虫';
皎	달밝을 교	白';
狡	교활할 교	犬';
嬌	아리따울 교	女';
嶠	산길 교	山';
鮫	상어 교	魚';
餃	교자 교	食';
翹	우뚝할 교	羽';
蕎	메밀 교	艸';
儌	갈 교	人';
敽	맬 교	攴';
荍	당아욱 교	艸';
磽	자갈땅 교	石';
茭	마른꼴 교 | 풀뿌리 효	艸';
蹻	발들 교 | 짚신 갹	足';
嘐	깨물 교 | 클 효	口';
佼	예쁠/업신여길 교	人';
鷮	꿩 교	鳥';
曒	밝을 교	日';
姣	아름다울/아양부릴 교	女';
九	아홉 구	乙';
口	입 구(:)	口';
球	공 구	玉';
區	구분할/지경 구	匸';
具	갖출 구(:)	八';
舊	예 구:	臼';
救	구원할 구:	攴';
求	구할[索] 구	水';
句	글귀 구	口';
究	연구할 구	穴';
構	얽을 구	木';
久	오랠 구:	丿';
拘	잡을 구	手';
丘	언덕 구	一';
俱	함께 구	人';
龜	거북 구 | 거북 귀 | 터질 균	龜';
驅	몰 구	馬';
苟	진실로/구차할 구	艸';
懼	두려워할 구	心';
狗	개 구	犬';
鷗	갈매기 구	鳥';
歐	구라파/칠 구	欠';
購	살 구	貝';
邱	언덕 구	邑';
玖	옥돌 구	玉';
矩	모날/법 구	矢';
駒	망아지 구	馬';
鳩	비둘기 구	鳥';
舅	시아비/외삼촌 구	臼';
枸	구기자(枸杞子) 구	木';
廏	마구 구	广';
寇	도적 구	宀';
嘔	게울 구(:)	口';
仇	원수 구	人';
垢	때 구	土';
衢	네거리 구	行';
鉤	갈고리 구	金';
臼	절구 구	臼';
毆	때릴 구	殳';
溝	도랑 구	水';
灸	뜸 구:	火';
軀	몸 구	身';
柩	널[棺] 구	木';
謳	노래 구	言';
嶇	험할 구	山';
絿	급할 구	糸';
廐	마구간[廏] 구	广';
勾	굽을 구	勹';
坵	언덕[丘] 구	土';
瞿	놀랄 구	目';
逑	짝 구	辵';
銶	끌 구	金';
耈	늙은이 구	老';
咎	허물 구	口';
柾	널[柩] 구	木';
毬	제기/공 구	毛';
屨	신 구:	尸';
嫗	할미 구	女';
俅	공순할 구	人';
劬	수고할 구	力';
姤	만날 구	女';
糗	미숫가루 구:	米';
雊	장끼울 구	隹';
觩	뿔굽을 구	角';
艽	변방 구 | 진교 교	艸';
笱	통발 구	竹';
韭	부추 구	韭';
遘	만날 구	辵';
媾	겹혼인/화친할 구	女';
裘	갖옷 구	衣';
彀	활당길 구:	弓';
窶	가난할 구: | 기울어진땅 루:	穴';
疚	오랜병 구	疒';
璆	옥경쇠 구	玉';
漚	물거품 구	水';
搆	얽을 구	手';
捄	흙파올릴 구	手';
扣	두드릴 구	手';
覯	만나볼 구	見';
國	나라 국	囗';
局	판[形局] 국	尸';
菊	국화 국	艸';
鞠	성(姓)/국문할 국	革';
鞫	국문할 국	革';
麴	누룩 국	麥';
匊	움큼 국	勹';
軍	군사 군	車';
郡	고을 군:	邑';
君	임금 군	口';
群	무리 군	羊';
窘	군색할 군:	穴';
裙	치마 군	衣';
屈	굽힐 굴	尸';
窟	굴 굴	穴';
掘	팔 굴	手';
堀	팔 굴	土';
詘	말막힐 굴 | 내칠 출	言';
宮	집 궁	宀';
窮	다할/궁할 궁	穴';
弓	활 궁	弓';
躬	몸 궁	身';
穹	하늘 궁	穴';
芎	궁궁이 궁	艸';
權	권세 권	木';
券	문서 권	刀';
勸	권할 권:	力';
卷	책 권(:)	卩';
拳	주먹 권:	手';
圈	우리[牢] 권	囗';
眷	돌볼 권:	目';
捲	거둘/말 권	手';
倦	게으를 권:	人';
淃	돌아흐를 권	水';
棬	나무그릇 권	木';
睠	돌아볼 권:	目';
綣	정다울 권	糸';
鬈	머리고울 권	髟';
厥	그[其] 궐	厂';
闕	대궐 궐	門';
蹶	일어설/넘어질 궐	足';
蕨	고사리 궐	艸';
獗	날뛸 궐	犬';
軌	바퀴자국 궤:	車';
潰	무너질 궤:	水';
詭	속일 궤:	言';
几	안석 궤:	几';
櫃	궤짝 궤:	木';
机	책상 궤:	木';
饋	먹일 궤	食';
垝	무너질 궤	土';
匱	갑(匣)/다할 궤:	匚';
氿	구멍샘 궤:	水';
簋	제기(祭器)이름 궤:	竹';
跪	꿇어앉을 궤:	足';
餽	먹일 궤:	食';
匭	상자 궤	匚';
簣	삼태기 궤:	竹';
貴	귀할 귀:	貝';
歸	돌아갈 귀:	止';
鬼	귀신 귀:	鬼';
晷	해그림자 귀	日';
宄	간악할 귀	宀';
規	법 규	見';
糾	얽힐 규	糸';
叫	부르짖을 규	口';
閨	안방 규	門';
珪	홀 규	玉';
揆	헤아릴 규	手';
奎	별 규	大';
圭	서옥(瑞玉)/쌍토 규	土';
逵	길거리 규	辵';
葵	아욱/해바라기 규	艸';
窺	엿볼 규	穴';
硅	규소 규	石';
赳	헌걸찰 규	走';
竅	구멍 규	穴';
槻	물푸레나무 규	木';
闚	엿볼 규	門';
糺	살필 규	糸';
戣	창 규	戈';
頍	머리들 규	頁';
睽	어그러질/반목할 규	目';
樛	휠 규	木';
