';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
蘩	흰쑥 번	艸';
袢	속옷 번	衣';
墦	무덤 번	土';
罰	벌할 벌	网';
伐	칠[討] 벌	人';
閥	문벌 벌	門';
筏	뗏목 벌	竹';
犯	범할 범:	犬';
範	법 범:	竹';
凡	무릇 범(:)	几';
汎	넓을 범:	水';
范	성(姓) 범:	艸';
帆	돛 범:	巾';
梵	불경 범:	木';
氾	넘칠 범:	水';
泛	뜰 범:	水';
杋	나무이름 범	木';
法	법 법	水';
琺	법랑 법	玉';
壁	벽 벽	土';
碧	푸를 벽	石';
僻	궁벽할 벽	人';
癖	버릇 벽	疒';
劈	쪼갤 벽	刀';
闢	열 벽	門';
擘	엄지손가락 벽	手';
璧	구슬 벽	玉';
霹	벼락 벽	雨';
蘗	황경나무 벽	艸';
檗	황벽나무 벽	木';
辟	물리칠 벽	辛';
甓	벽돌 벽	瓦';
變	변할 변:	言';
邊	가[側] 변	辵';
辯	말씀 변:	辛';
辨	분별할 변:	辛';
弁	고깔 변:	廾';
卞	성(姓) 변:	卜';
騈	쌍말 변 | 나란히할 병	馬';
籩	제기이름 변	竹';
釆	나눌 변	釆';
別	다를/나눌 별	刀';
鼈	자라 별	黽';
瞥	눈깜짝할 별	目';
鱉	자라[鼈] 별	魚';
病	병 병:	疒';
兵	병사 병	八';
丙	남녘 병:	一';
竝	나란히 병:	立';
屛	병풍 병(:)	尸';
倂	아우를 병:	人';
昺	밝을 병:	日';
昞	밝을 병:	日';
秉	잡을 병:	禾';
柄	자루 병:	木';
炳	불꽃 병:	火';
甁	병 병	瓦';
餠	떡 병:	食';
棅	자루[柄] 병:	木';
幷	아우를 병	干';
輧	수레 병	車';
荓	풀이름 병	艸';
怲	근심할 병	心';
迸	흩어질 병	辵';
缾	병 병	缶';
保	지킬 보(:)	人';
步	걸음 보:	止';
報	갚을/알릴 보:	土';
寶	보배 보:	宀';
普	넓을 보:	日';
譜	족보 보:	言';
補	기울 보:	衣';
甫	클 보:	用';
輔	도울 보:	車';
潽	물이름 보:	水';
菩	보살 보	艸';
堡	작은성 보:	土';
洑	보 보 | 스며흐를 복	水';
褓	포대기 보	衣';
湺	사람이름 보	水';
珤	보배[寶] 보:	玉';
鴇	너새 보:	鳥';
黼	수놓은옷 보	黹';
服	옷 복	月';
福	복 복	示';
復	회복할 복 | 다시 부:	彳';
伏	엎드릴 복	人';
複	겹칠 복	衣';
覆	덮을 부 | 다시 복	襾';
腹	배 복	肉';
卜	점 복	卜';
馥	향기 복	香';
鰒	전복 복	魚';
僕	종 복	人';
匐	길 복	勹';
輻	바퀴살 복 | 바퀴살 폭	車';
輹	바퀴통 복	車';
宓	성(姓) 복	宀';
蔔	무 복	艸';
茯	복령 복	艸';
濮	물이름 복	水';
楅	뿔막이 복 | 뿔막이 벽	木';
葍	순무 복	艸';
扑	칠 복	手';
鍑	솥 복	金';
本	근본 본	木';
乶	땅이름 볼	乙';
奉	받들 봉:	大';
鳳	봉새 봉:	鳥';
封	봉할 봉	寸';
峯	봉우리 봉	山';
逢	만날 봉	辵';
蜂	벌 봉	虫';
俸	녹(祿) 봉:	人';
縫	꿰맬 봉	糸';
蓬	쑥 봉	艸';
鋒	칼날 봉	金';
烽	봉화 봉	火';
捧	받들 봉	手';
棒	막대 봉	木';
琫	칼장식 봉	玉';
峰	멧부리 봉	山';
熢	내자옥할 봉	火';
菶	풀우거질 봉	艸';
丰	예쁠 봉	丨';
唪	크게웃을 봉	口';
葑	순무 봉	艸';
芃	풀무성할 봉	艸';
父	아비 부	父';
夫	지아비 부	大';
部	떼 부	邑';
府	마을[官廳] 부(:)	广';
富	부자 부:	宀';
副	버금 부:	刀';
婦	며느리 부	女';
否	아닐 부:	口';
負	질[荷] 부:	貝';
符	부호 부(:)	竹';
付	부칠 부:	人';
浮	뜰 부	水';
賦	부세 부:	貝';
腐	썩을 부:	肉';
附	붙을 부(:)	阜';
簿	문서 부:	竹';
扶	도울 부	手';
赴	다다를[趨而至]/갈[趨] 부:	走';
敷	펼 부(:)	攴';
膚	살갗 부	肉';
傅	스승 부:	人';
釜	가마[鬴] 부	金';
阜	언덕 부:	阜';
賻	부의 부:	貝';
駙	부마 부:	馬';
訃	부고 부:	言';
芙	연꽃 부	艸';
腑	육부(六腑) 부	肉';
斧	도끼 부	斤';
埠	부두 부:	土';
咐	분부할/불[吹] 부	口';
剖	쪼갤 부:	刀';
俯	구부릴 부:	人';
孵	알깔 부	子';
孚	믿을 부	子';
鳧	물오리 부	鳥';
趺	가부좌할 부	足';
艀	거룻배 부	舟';
溥	넓을 부	水';
缶	장군 부	缶';
莩	갈청 부 | 굶어죽을 표	艸';
祔	합장할 부	示';
拊	어루만질 부:	手';
痡	앓을 부	疒';
紑	옷깨끗할 부	糸';
鈇	작두/도끼 부	金';
裒	모을 부	衣';
蜉	하루살이 부	虫';
芣	질경이 부	艸';
鮒	붕어 부:	魚';
掊	헤칠 부	手';
罦	덮을 부	网';
俘	사로잡을 부	人';
桴	대마루 부	木';
北	북녘 북 | 달아날 배:	匕';
分	나눌 분(:)	刀';
粉	가루 분(:)	米';
憤	분할 분:	心';
奔	달릴 분	大';
奮	떨칠 분:	大';
紛	어지러울 분	糸';
墳	무덤 분	土';
芬	향기 분	艸';
扮	꾸밀 분	手';
雰	눈날릴 분	雨';
盆	동이 분	皿';
焚	불사를 분	火';
吩	분부할 분:	口';
噴	뿜을 분	口';
忿	성낼 분:	心';
糞	똥 분	米';
昐	햇빛 분	日';
汾	물이름 분	水';
賁	클 분 | 꾸밀 비	貝';
幩	재갈장식 분	巾';
鼖	큰북 분	鼓';
饙	찐밥 분	食';
苯	우거질 분	艸';
蕡	열매많을 분	艸';
濆	물가 분	水';
棼	어지러울 분	木';
枌	흰느릅나무 분	木';
豶	불깐[去勢]돼지 분	豕';
不	아닐 불	一';
佛	부처 불	人';
拂	떨칠 불	手';
弗	아닐/말[勿] 불	弓';
彿	비슷할 불	彳';
紼	인끈 불	糸';
咈	어길 불	口';
紱	인끈 불	糸';
笰	수레가리개 불	竹';
巿	슬갑 불	巾';
黻	슬갑/보불 불	黹';
茀	우거질 불	艸';
艴	성발끈낼 불 | 성발끈낼 발	色';
芾	슬갑/우거질 불	艸';
崩	무너질 붕	山';
朋	벗 붕	月';
鵬	새 붕	鳥';
棚	사다리 붕	木';
硼	붕사(硼砂) 붕	石';
繃	묶을 붕	糸';
比	견줄 비:	比';
費	쓸 비:	貝';
鼻	코 비:	鼻';
飛	날 비	飛';
備	갖출 비:	人';
非	아닐 비(:)	非';
悲	슬플 비:	心';
批	비평할 비:	手';
祕	숨길 비:	示';
碑	비석 비	石';
妃	왕비 비	女';
婢	계집종 비:	女';
肥	살찔 비:	肉';
卑	낮을 비:	十';
匪	비적 비:	匚';
泌	분비할 비: | 스며흐를 필	水';
丕	클 비	一';
毖	삼갈 비	比';
毘	도울 비	比';
誹	헐뜯을 비	言';
砒	비상 비:	石';
妣	죽은어미 비	女';
鄙	더러울 비:	邑';
譬	비유할 비:	言';
裨	도울 비	衣';
臂	팔 비:	肉';
脾	지라 비(:)	肉';
翡	물총새 비:	羽';
扉	사립문 비	戶';
秕	쭉정이 비:	禾';
痺	저릴 비	疒';
琵	비파 비	玉';
沸	끓을 비: | 용솟음할 불	水';
憊	고단할 비:	心';
匕	비수 비:	匕';
蜚	바퀴/날[飛] 비	虫';
庇	덮을 비:	广';
緋	비단 비:	糸';
斐	아롱질 비	文';
榧	비자나무 비	木';
枇	비파나무 비	木';
粃	쭉정이 비	米';
菲	엷을 비	艸';
秘	숨길[祕] 비:	禾';
毗	도울 비	比';
閟	닫을 비:	門';
剕	발벨 비:	刀';
圮	무너질 비:	土';
埤	더할 비	土';
庳	낮을 비	广';
悱	분할 비:	心';
棐	도지개 비	木';
淠	물이름 비	水';
紕	꾸밀 비	糸';
腓	장딴지 비	肉';
俾	하여금 비:	人';
轡	고삐 비:	車';
痹	저릴 비	疒';
霏	눈펄펄내릴 비	雨';
騑	곁마 비	馬';
伾	힘셀 비	人';
奰	장대할 비	大';
岯	산겹칠 비	山';
朏	초승달 비	月';
畀	줄 비:	田';
秠	검은기장 비	禾';
篚	대광주리 비:	竹';
鞞	마상북 비 | 칼집 병	革';
駓	황부루 비	馬';
貔	맹수이름 비	豸';
羆	곰 비	网';
仳	떠날 비	人';
貧	가난할 빈	貝';
賓	손 빈	貝';
頻	자주 빈	頁';
彬	빛날 빈	彡';
殯	빈소 빈	歹';
濱	물가 빈	水';
嬪	궁녀벼슬이름 빈	女';
嚬	찡그릴 빈	口';
瀕	물가/가까울 빈	水';
檳	빈랑나무 빈	木';
浜	물가 빈	水';
牝	암컷 빈	牛';
玭	진주 빈	玉';
斌	빛날 빈	文';
繽	어지러울 빈	糸';
邠	나라이름 빈	邑';
璸	옥의무늬 빈	玉';
儐	인도할 빈	人';
擯	물리칠 빈	手';
鬢	살쩍 빈	髟';
豳	나라이름 빈	豕';
蠙	진주조개 빈	虫';
蘋	마름 빈	艸';
氷	얼음 빙	水';
聘	부를 빙	耳';
馮	탈[乘] 빙 | 성(姓) 풍	馬';
憑	비길[依] 빙	心';
騁	달릴 빙	馬';
四	넉 사:	囗';
事	일 사:	亅';
社	모일 사	示';
使	하여금/부릴 사:	人';
死	죽을 사:	歹';
史	사기(史記) 사:	口';
士	선비 사:	士';
仕	섬길 사(:)	人';
寫	베낄 사	宀';
思	생각 사(:)	心';
査	조사할 사	木';
寺	절 사	寸';
師	스승 사	巾';
謝	사례할 사:	言';
舍	집 사	舌';
辭	말씀 사	辛';
私	사사(私事) 사	禾';
絲	실 사	糸';
射	쏠 사(:)	寸';
邪	간사할 사	邑';
沙	모래 사	水';
司	맡을 사	口';
蛇	긴뱀 사	虫';
斜	비낄 사	斗';
詞	말/글 사	言';
祀	제사 사	示';
巳	뱀 사:	己';
捨	버릴 사:	手';
斯	이 사	斤';
詐	속일 사	言';
賜	줄 사:	貝';
似	닮을 사:	人';
赦	용서할 사:	赤';
飼	기를 사	食';
唆	부추길 사	口';
泗	물이름 사:	水';
些	적을 사	二';
麝	사향노루 사:	鹿';
祠	사당 사	示';
紗	비단 사	糸';
嗣	이을 사:	口';
奢	사치할 사	大';
娑	춤출/사바세상 사	女';
徙	옮길 사:	彳';
瀉	쏟을 사(:)	水';
獅	사자 사(:)	犬';
蓑	도롱이 사	艸';
篩	체 사	竹';
肆	방자할/베풀 사:	聿';
俟	기다릴 사	人';
渣	찌끼 사	水';
梭	북[織具] 사	木';
柶	숟가락/윷 사	木';
僿	잘게부술 사 | 잘게부술 새	人';
裟	가사(袈裟) 사	衣';
砂	모래 사	石';
乍	잠깐 사	丿';
莎	사초 사	艸';
伺	엿볼 사	人';
駟	사마(駟馬) 사	馬';
鯊	상어/모래무지 사	魚';
耜	따비/보습 사:	耒';
笥	옷상자 사:	竹';
戺	문지방 사	戶';
涘	물가 사:	水';
簑	도롱이 사	竹';
傞	취한춤 사	人';
汜	늪 사:	水';
榭	정자/사당 사	木';
糸	실 사 | 가는실 멱	糸';
葸	겁낼 사	艸';
蓰	다섯곱 사:	艸';
蹝	천천히걸을 사	足';
削	깎을 삭	刀';
朔	초하루 삭	月';
鑠	쇠녹일 삭	金';
山	메 산	山';
算	셈 산:	竹';
産	낳을 산:	生';
散	흩을 산:	攴';
傘	우산 산	人';
酸	실[味覺] 산	酉';
疝	산증(疝症) 산	疒';
珊	산호 산	玉';
刪	깎을 산	刀';
汕	오구 산	水';
蒜	마늘 산	艸';
霰	싸락눈 산	雨';
潸	눈물줄줄흘릴 산	水';
殺	죽일 살 | 감할/빠를 쇄:	殳';
撒	뿌릴 살	手';
煞	죽일 살	火';
薩	보살 살	艸';
乷	땅이름 살	乙';
三	석 삼	一';
森	수풀 삼	木';
蔘	삼 삼	艸';
滲	스밀 삼	水';
衫	적삼 삼	衣';
杉	삼나무 삼	木';
芟	풀벨 삼	艸';
揷	꽂을 삽	手';
澁	떫을 삽	水';
鈒	새길 삽	金';
颯	바람소리 삽	風';
歃	마실 삽	欠';
上	윗  상:	一';
商	장사 상	口';
相	서로 상	目';
賞	상줄 상	貝';
常	떳떳할 상	巾';
床	상 상	广';
想	생각 상:	心';
狀	형상 상 | 문서 장:	犬';
傷	다칠 상	人';
象	코끼리 상	豕';
霜	서리 상	雨';
裳	치마 상	衣';
桑	뽕나무 상	木';
喪	잃을 상(:)	口';
詳	자세할 상	言';
尙	오히려 상(:)	小';
像	모양 상	人';
償	갚을 상	人';
祥	상서 상	示';
嘗	맛볼 상	口';
箱	상자 상	竹';
庠	학교 상	广';
爽	시원할 상:	爻';
翔	날[飛] 상	羽';
觴	잔 상	角';
孀	홀어미 상	女';
牀	평상[床] 상	爿';
峠	고개 상	山';
橡	상수리 상	木';
廂	곁채 상	广';
湘	물이름 상	水';
鱨	자가사리/날치 상	魚';
塽	높고밝은땅 상	土';
殤	어려서죽을 상	歹';
顙	이마 상:	頁';
璽	옥새(玉璽) 새	玉';
賽	굿할 새	貝';
色	빛 색	色';
索	찾을 색 | 노[새끼줄] 삭	糸';
塞	막힐 색 | 변방 새	土';
嗇	아낄 색	口';
穡	거둘 색	禾';
生	날 생	生';
牲	희생 생	牛';
甥	생질 생	生';
笙	생황 생	竹';
眚	재앙 생	目';
西	서녘 서	襾';
書	글 서	曰';
序	차례 서:	广';
恕	용서할 서:	心';
緖	실마리 서:	糸';
徐	천천할 서(:)	彳';
署	마을[官廳] 서:	网';
暑	더울 서:	日';
敍	펼 서:	攴';
逝	갈[往] 서:	辵';
庶	여러 서:	广';
誓	맹세할 서:	言';
瑞	상서 서:	玉';
舒	펼 서:	舌';
抒	풀 서:	手';
棲	깃들일 서:	木';
犀	무소 서:	牛';
胥	서로 서	肉';
薯	감자 서:	艸';
黍	기장 서:	黍';
嶼	섬 서(:)	山';
曙	새벽 서:	日';
鼠	쥐 서:	鼠';
壻	사위 서:	士';
絮	솜 서 | 성 여	糸';
筮	점대 서	竹';
栖	깃들일[棲] 서:	木';
鋤	호미 서	金';
墅	농막 서:	土';
捿	깃들일 서:	手';
鱮	연어 서	魚';
噬	씹을 서:	口';
婿	사위 서:	女';
湑	이슬맺힐 서	水';
澨	물가 서	水';
紓	늘어질 서	糸';
諝	슬기 서	言';
癙	근심병 서:	疒';
藇	아름다울 서 | 마 여	艸';
夕	저녁 석	夕';
席	자리 석	巾';
石	돌 석	石';
惜	아낄 석	心';
釋	풀 석	釆';
昔	예[古] 석	日';
析	쪼갤 석	木';
碩	클 석	石';
錫	주석 석	金';
奭	클/쌍백 석	大';
晳	밝을 석	日';
潟	개펄 석	水';
蓆	클 석	艸';
汐	조수 석	水';
淅	쌀일 석	水';
鼫	다람쥐 석	鼠';
螫	쏠 석	虫';
裼	벗어맬 석 | 포대기 체	衣';
腊	육포 석	肉';
鉐	놋쇠 석	金';
舃	신 석	臼';
先	먼저 선	儿';
線	줄 선	糸';
鮮	고울 선	魚';
仙	신선 선	人';
善	착할 선:	口';
選	가릴 선:	辵';
船	배 선	舟';
宣	베풀 선	宀';
禪	선 선	示';
旋	돌[廻] 선	方';
繕	기울 선:	糸';
璇	옥 선	玉';
瑄	도리옥 선	玉';
璿	구슬 선	玉';
煽	부채질할 선	火';
銑	무쇠 선	金';
膳	선물/반찬 선:	肉';
羨	부러워할 선: | 무덤길 연:	羊';
扇	부채 선	戶';
腺	샘 선	肉';
詵	말전할/많을 선	言';
僊	춤훨훨출 선	人';
鐥	대야 선	金';
琁	옥 선	玉';
蟬	매미 선	虫';
蘚	이끼 선	艸';
饍	반찬[膳] 선:	食';
癬	버짐 선:	疒';
嬋	고울 선	女';
跣	맨발 선	足';
渲	바림 선	水';
敾	사람이름 선	攴';
墡	흰흙 선	土';
愃	상쾌할 선 | 너그러울 훤	心';
僎	갖출 선 | 준작 준	人';
墠	제터 선	土';
毨	털갈 선	毛';
珗	옥돌 선	玉';
雪	눈 설	雨';
說	말씀 설 | 달랠 세:	言';
設	베풀 설	言';
舌	혀 설	舌';
薛	성(姓) 설	艸';
卨	사람이름 설	卜';
屑	가루 설	尸';
泄	샐 설	水';
洩	샐 설 | 퍼질 예	水';
渫	파낼 설	水';
齧	깨물 설	齒';
褻	무람없을 설	衣';
楔	문설주 설	木';
暬	설만할 설	日';
偰	맑을 설	人';
紲	고삐 설	糸';
挈	끌 설 | 이지러질 계	手';
絏	맬 설 | 소매 예	糸';
纖	가늘 섬	糸';
陝	땅이름 섬	阜';
蟾	두꺼비 섬	虫';
暹	햇살치밀/나라이름 섬	日';
閃	번쩍일 섬	門';
殲	다죽일 섬	歹';
贍	넉넉할 섬	貝';
憸	아첨할 섬	心';
攝	다스릴/잡을 섭	手';
涉	건널 섭	水';
燮	불꽃 섭	火';
韘	깍지 섭	韋';
姓	성 성:	女';
成	이룰 성	戈';
省	살필 성 | 덜 생	目';
性	성품 성:	心';
誠	정성 성	言';
聲	소리 성	耳';
盛	성할 성:	皿';
聖	성인 성:	耳';
城	재 성	土';
星	별 성	日';
晟	밝을 성	日';
醒	깰 성	酉';
惺	깨달을 성	心';
腥	비릴 성	肉';
珹	옥이름 성	玉';
宬	서고 성	宀';
猩	성성이 성	犬';
筬	바디 성	竹';
瑆	옥빛 성	玉';
騂	붉은소 성	馬';
娍	아름다울 성	女';
世	인간 세:	一';
洗	씻을 세:	水';
歲	해 세:	止';
勢	형세 세:	力';
稅	세금 세:	禾';
細	가늘 세:	糸';
貰	세놓을 세:	貝';
笹	가는대[細竹] 세	竹';
帨	수건 세	巾';
小	작을 소:	小';
少	적을 소:	小';
所	바 소:	戶';
消	사라질 소	水';
笑	웃음 소:	竹';
掃	쓸[掃除] 소(:)	手';
素	본디/흴[白] 소(:)	糸';
訴	호소할 소	言';
燒	사를 소(:)	火';
疏	소통할 소	疋';
蘇	되살아날 소	艸';
召	부를 소	口';
昭	밝을 소	日';
蔬	나물 소	艸';
騷	떠들 소	馬';
紹	이을 소	糸';
沼	못 소	水';
巢	새집 소	巛';
邵	땅이름/성(姓) 소	邑';
簫	퉁소 소	竹';
塑	흙빚을 소	土';
遡	거스를 소	辵';
逍	노닐 소	辵';
蕭	쓸쓸할 소	艸';
瘙	피부병 소	疒';
疎	성길 소	疋';
甦	깨어날 소	生';
梳	얼레빗 소	木';
宵	밤[夜] 소	宀';
搔	긁을 소	手';
嘯	휘파람 소:	口';
瀟	물이름 소	水';
銷	쇠녹일 소	金';
溯	거슬러올라갈 소	水';
篠	조릿대 소	竹';
韶	풍류/아름다울 소	音';
炤	밝을 소 | 비출 조	火';
愬	하소연할 소 | 두려워할 색	心';
艘	배 소	舟';
蛸	갈거미 소	虫';
玿	아름다운옥 소	玉';
埽	쓸 소(:)	土';
翛	날개소리 소	羽';
繅	고치켤 소	糸';
蠨	갈거미 소	虫';
霄	하늘 소	雨';
愫	정성 소	心';
慅	소란스러울 소 | 고달플 초	心';
柖	나무흔들릴 소	木';
速	빠를 속	辵';
束	묶을 속	木';
續	이을 속	糸';
俗	풍속 속	人';
屬	붙일 속	尸';
粟	조 속	米';
贖	속죄할 속	貝';
涑	물이름 속	水';
謖	일어날 속	言';
餗	삶은나물 속	食';
樕	참나무 속	木';
蔌	푸성귀 속	艸';
觫	곱송그릴 속	角';
藚	쇠귀나물 속	艸';
孫	손자 손(:)	子';
損	덜 손:	手';
遜	겸손할 손:	辵';
蓀	향풀 손	艸';
巽	부드러울 손	己';
飡	밥 손 | 벼슬이름 찬	食';
飱	저녁밥 손	食';
飧	저녁밥/물만밥 손	食';
蟀	귀뚜라미 솔	虫';
送	보낼 송:	辵';
頌	기릴/칭송할 송:	頁';
松	소나무 송	木';
訟	송사할 송:	言';
誦	욀 송:	言';
宋	성(姓) 송:	宀';
悚	두려울 송:	心';
淞	물이름 송	水';
竦	공경할/두려울 송:	立';
鎖	쇠사슬 쇄:	金';
刷	인쇄할 쇄:	刀';
碎	부술 쇄:	石';
灑	뿌릴 쇄:	水';
洒	뿌릴 쇄: | 씻을 세:	水';
瑣	옥가루 쇄:	玉';
衰	쇠할 쇠	衣';
釗	쇠 쇠	金';
水	물 수	水';
手	손 수(:)	手';
數	셈 수:	攴';
樹	나무 수	木';
首	머리 수	首';
修	닦을 수	人';
受	받을 수(:)	又';
守	지킬 수	宀';
授	줄 수	手';
收	거둘 수	攴';
秀	빼어날 수	禾';
愁	근심 수	心';
壽	목숨 수	士';
帥	장수 수	巾';
殊	다를 수	歹';
輸	보낼 수	車';
隨	따를 수	阜';
需	쓰일/쓸 수	雨';
垂	드리울 수	土';
獸	짐승 수	犬';
睡	졸음 수	目';
須	모름지기 수	頁';
雖	비록 수	隹';
誰	누구 수	言';
搜	찾을 수	手';
囚	가둘 수	囗';
遂	드디어 수	辵';
銖	저울눈 수	金';
隋	수나라 수	阜';
洙	물가 수	水';
蒐	모을 수	艸';
嫂	형수 수	女';
戍	수자리 수	戈';
髓	뼛골 수	骨';
酬	갚을 수	酉';
袖	소매 수	衣';
羞	부끄러울 수	羊';
狩	사냥할 수	犬';
繡	수놓을 수:	糸';
粹	순수할 수	米';
竪	세울 수	立';
穗	이삭 수	禾';
瘦	여윌 수	疒';
讎	원수 수	言';
蓚	수산 수	艸';
綬	인끈 수	糸';
綏	편안할 수 | 기드리움 유	糸';
琇	옥돌 수	玉';
鬚	수염 수	髟';
漱	양치할 수	水';
峀	산굴[岫] 수	山';
銹	쇳녹날 수	金';
嗽	기침할 수	口';
邃	깊을 수	辵';
璲	패옥 수	玉';
藪	숲 수	艸';
隧	길[路] 수	阜';
讐	원수 수	言';
燧	봉화 수	火';
茱	수유 수	艸';
岫	산굴 수	山';
脩	길[長] 수	肉';
魗	미워할 수 | 미워할 추	鬼';
叟	늙은이 수	又';
售	팔 수	口';
廋	숨길 수	广';
殳	창 수	殳';
濉	물이름 수 | 노려볼 휴	水';
睟	바로볼 수	目';
瞍	소경 수	目';
豎	세울 수	豆';
檖	산배 수	木';
繻	고운비단 수	糸';
穟	벼이삭 수	禾';
宿	잘 숙 | 별자리 수:	宀';
叔	아재비 숙	又';
肅	엄숙할 숙	聿';
淑	맑을 숙	水';
熟	익을 숙	火';
孰	누구 숙	子';
夙	이를 숙	夕';
菽	콩 숙	艸';
塾	글방 숙	土';
琡	옥이름 숙	玉';
璹	옥그릇 숙	玉';
潚	물맑을 숙	水';
橚	무성할 숙	木';
俶	비롯할 숙	人';
順	순할 순:	頁';
純	순수할 순	糸';
旬	열흘 순	日';
瞬	눈깜짝일 순	目';
巡	돌[廻]/순행할 순	巛';
循	돌[環] 순	彳';
殉	따라죽을 순	歹';
脣	입술 순	肉';
盾	방패 순	目';
舜	순임금 순	舛';
珣	옥이름 순	玉';
淳	순박할 순	水';
洵	참으로 순	水';
荀	풀이름 순	艸';
醇	전국술 순	酉';
筍	죽순 순	竹';
馴	길들일 순	馬';
詢	물을 순	言';
錞	악기이름 순	金';
徇	부릴/조리돌릴 순	彳';
恂	미쁠/무서울 순	心';
栒	나무이름 순	木';
楯	난간 순	木';
橓	무궁화나무 순	木';
蓴	순채 순	艸';
諄	거듭이를 순	言';
蕣	무궁화 순	艸';
漘	물가 순	水';
犉	입술검은누렁소 순	牛';
肫	광대뼈 순	肉';
郇	나라이름 순	邑';
鶉	메추리 순	鳥';
術	재주 술	行';
述	펼 술	辵';
戌	개 술	戈';
鉥	돗바늘 술	金';
崇	높을 숭	山';
嵩	산높을 숭	山';
崧	산높을 숭	山';
瑟	큰거문고 슬	玉';
膝	무릎 슬	肉';
蝨	이 슬	虫';
璱	아름다운옥 슬	玉';
習	익힐 습	羽';
濕	젖을 습	水';
拾	주울 습 | 열 십	手';
襲	엄습할 습	衣';
褶	사마치/주름 습 | 겹옷 첩	衣';
隰	진펄 습	阜';
熠	빛날 습	火';
勝	이길 승	力';
承	이을 승	手';
乘	탈 승	丿';
昇	오를 승	日';
僧	중 승	人';
升	되 승	十';
繩	노끈 승	糸';
丞	정승 승	一';
陞	오를 승	阜';
蠅	파리 승	虫';
時	때 시	日';
市	저자 시:	巾';
始	비로소 시:	女';
示	보일 시:	示';
詩	시 시	言';
試	시험 시(:)	言';
視	볼 시:	見';
施	베풀 시:	方';
是	이[斯]/옳을 시:	日';
侍	모실 시:	人';
矢	화살 시:	矢';
屍	주검 시:	尸';
柴	섶[薪] 시:	木';
柿	감 시:	木';
匙	숟가락 시:	匕';
媤	시집 시	女';
弑	윗사람죽일 시:	弋';
猜	시기할 시	犬';
諡	시호 시:	言';
豺	승냥이 시:	豸';
豕	돼지 시	豕';
恃	믿을 시:	心';
翅	날개 시	羽';
蒔	모종할 시	艸';
蓍	시초 시	艸';
尸	주검 시	尸';
嘶	말울/목쉴 시	口';
屎	똥 시	尸';
諟	다스릴 시:	言';
枲	수삼 시:	木';
塒	홰 시	土';
啻	뿐 시:	口';
兕	외뿔소 시	儿';
偲	힘쓸 시	人';
鳲	뻐꾸기 시	鳥';
釃	술거를 시	酉';
緦	시마(緦麻) 시	糸';
食	밥/먹을 식	食';
植	심을 식	木';
式	법 식	弋';
識	알 식	言';
息	쉴 식	心';
飾	꾸밀 식	食';
殖	불릴 식	歹';
軾	수레가로나무 식	車';
湜	물맑을 식	水';
熄	불꺼질 식	火';
蝕	좀먹을 식	虫';
拭	씻을 식	手';
寔	이(是) 식	宀';
篒	땅이름 식	竹';
埴	찰흙 식 | 찰흙 치	土';
栻	점치는판 식	木';
身	몸 신	身';
神	귀신 신	示';
信	믿을 신:	人';
新	새 신	斤';
臣	신하 신	臣';
申	납[猿] 신	田';
愼	삼갈 신:	心';
辛	매울 신	辛';
伸	펼 신	人';
晨	새벽 신	日';
紳	띠[帶] 신:	糸';
腎	콩팥 신:	肉';
薪	섶 신	艸';
迅	빠를 신	辵';
蜃	큰조개 신	虫';
燼	불탄끝 신:	火';
宸	대궐 신	宀';
娠	아이밸 신	女';
呻	읊조릴 신	口';
訊	물을 신:	言';
侁	걷는모양 신	人';
莘	세신[細辛] 신	艸';
藎	조개풀 신	艸';
駪	많을 신	馬';
贐	노자 신:	貝';
矧	하물며 신:	矢';
甡	수두룩할 신	生';
璶	옥돌 신	玉';
哂	웃을 신:	口';
室	집 실	宀';
失	잃을 실	大';
實	열매 실	宀';
悉	다 실	心';
蟋	귀뚜라미 실	虫';
心	마음 심	心';
深	깊을 심	水';
甚	심할 심:	甘';
審	살필 심(:)	宀';
尋	찾을 심	寸';
瀋	즙낼/물이름 심:	水';
芯	골풀 심	艸';
諶	믿을 심	言';
沁	스며들 심	水';
葚	오디 심:	艸';
諗	고할 심	言';
十	열 십	十';
什	열사람 십 | 세간 집	人';
雙	두/쌍 쌍	隹';
氏	각시/성씨(姓氏) 씨	氏';
兒	아이 아	儿';
雅	맑을 아(:)	隹';
我	나 아:	戈';
阿	언덕 아	阜';
亞	버금 아(:)	二';
芽	싹 아	艸';
牙	어금니 아	牙';
餓	주릴 아:	食';
訝	의심할 아	言';
衙	마을[官廳] 아	行';
啞	벙어리 아(:)	口';
俄	아까 아	人';
娥	예쁠 아	女';
峨	산높을 아	山';
莪	다북쑥 아	艸';
蛾	누에나방 아	虫';
鴉	갈까마귀 아	鳥';
鵝	거위 아	鳥';
迓	맞을 아	辵';
惡	악할 악 | 미워할 오	心';
岳	큰산 악	山';
握	쥘 악	手';
堊	흰흙 악	土';
愕	놀랄 악	心';
顎	턱 악	頁';
嶽	큰산[岳] 악	山';
渥	비젖을/두터울 악	水';
鰐	악어 악	魚';
幄	장막(帳幕) 악	巾';
鍔	칼날 악	金';
鄂	땅이름 악	邑';
齷	악착할 악	齒';
咢	깜짝놀랄 악	口';
安	편안 안	宀';
案	책상 안:	木';
眼	눈 안:	目';
顔	낯 안:	頁';
岸	언덕 안:	山';
雁	기러기 안:	隹';
